KAM-Spec 2017
Date:,11/09/2017
Time:,06:17:43
 
 
 
 
Absorbance
 ,Exposure Time:,20 ms
 ,Wavelength:,400 nm
 
9619,9547
9709,9585
9548,9616
9704,9345
9562,9709
9580,9623
9729,9622
9573,9633
9561,9693
9695,9758
9647,9891
9512,9532
9770,9805
9839,9644
9679,9608
9454,9791
9713,10011
9732,9810
9854,9878
9769,9822
9859,9960
9769,9738
9769,9787
9755,9665
9844,9814
9604,9952
9974,9901
9813,10012
9809,9867
9714,9967
10070,9934
9981,9883
9962,9967
9810,9907
10148,9657
9856,10007
10077,10078
9869,9938
10190,9911
10124,10223
9915,9898
10013,10143
10169,10021
10118,10249
10297,10314
10198,9954
10174,10076
10021,10198
10132,10185
10000,9992
10093,10157
10198,10142
10301,10171
10248,10058
10385,10399
10348,10428
10490,10240
10292,10190
10090,10166
10424,10422
10390,10460
10299,10499
10527,10440
10626,10545
10340,10361
10301,10380
10336,10453
10569,10405
10459,10402
10329,10537
10259,10250
10459,10252
10456,10521
10463,10389
10415,10396
10559,10415
10434,10415
10437,10810
10547,10593
10434,10677
10482,10652
10469,10564
10662,10789
10999,10589
10675,10946
10729,10905
10621,10621
10907,10594
10823,10883
10834,10567
10823,10816
10749,10743
10875,10646
10862,10805
10760,10769
10535,10655
10810,10780
10584,10536
10514,10528
10458,10372
10696,10785
10710,10764
10968,10782
11118,10990
11051,11019
11105,11153
10832,11371
11055,11240
11080,11054
11203,11143
11087,11045
11164,11106
11422,11128
11244,11188
11143,11170
11159,11301
11020,11082
11118,11361
11433,11286
11306,11064
11379,11285
11402,11361
11404,11629
11202,11436
11292,11288
11313,11195
11371,11191
11532,11130
11438,11460
11343,11453
11440,11555
11299,11337
11470,11602
11516,11415
11205,11536
11365,11417
11612,11879
11550,11430
11671,11552
11602,11848
11706,11380
11544,11665
11661,11726
11760,11814
12009,11732
11793,11722
11791,11819
11977,11508
11892,11752
11791,11779
11839,11908
11706,11718
11964,11866
11648,11685
11581,11729
11996,11994
12005,11939
11884,11648
11961,11766
11871,11744
12154,12201
11897,11990
12026,12183
12169,12271
12072,12068
11953,12121
12170,11799
11975,12154
12011,12353
12199,11977
11940,12228
12013,12229
12132,11986
11999,12129
12242,12175
12317,12239
12310,12196
12166,12285
12429,12220
12344,12337
12235,12455
12402,12251
12342,12219
12522,12599
12461,12483
12372,12539
12555,12454
12322,12500
12429,12347
12333,12459
12115,12496
12639,12592
12692,12605
12797,12444
12656,12666
12477,12588
12523,12363
12665,12785
12428,12580
12527,12416
12648,12682
12624,12710
12651,12712
12786,12757
12604,12818
12632,12709
12877,12648
12774,12742
12852,12758
12668,13030
12981,12824
12611,12717
12946,13082
12733,12964
12781,12892
12928,13019
12881,12980
12922,13076
12843,12994
13092,13122
13135,13021
12813,12993
12751,13086
13044,12914
12949,13047
13242,13178
13245,13240
13224,13073
13106,13279
13233,13279
13321,13270
13302,13328
13136,13176
13329,13418
13123,13238
13397,13508
13288,13488
13198,13322
13504,13179
13568,13435
13398,13554
13490,13619
13438,13492
13307,13549
13640,13450
13464,13499
13486,13637
13343,13736
13630,13595
13678,13713
13525,13698
13617,13629
13876,13818
13629,13794
13702,13682
13592,13604
13485,13661
14069,13704
13925,13736
13687,13725
13962,14006
13594,13878
13891,14011
13964,13979
13901,13964
13768,14074
13942,14256
14042,13929
14084,13949
13957,14003
13913,13973
13956,14154
14037,13908
14073,14150
14092,13978
14201,14356
13988,14302
14108,14199
14406,14162
14028,14107
14010,14225
14518,14277
14337,14429
14336,14333
14233,14198
14208,14190
14182,14100
14193,14201
13948,14093
14092,13702
13814,13928
14108,14090
14123,14219
14249,14281
14495,14427
14186,14285
14317,14556
14584,14452
14716,14589
14731,14676
14592,14939
14744,14666
14571,14577
14807,14773
14580,14772
14614,14558
14739,14684
14570,14472
14678,14711
14689,14528
14804,14826
14947,14561
15150,14787
14922,14822
14949,15066
14898,14772
14862,15101
14968,15152
14892,14907
15472,15232
15042,15033
15080,15064
15179,14732
15454,15369
15348,14952
15019,15276
14954,14843
14963,15186
15093,15378
15268,15071
15119,15241
15159,15292
15417,15415
15111,15145
15448,15465
15372,15224
15331,15542
15582,15279
15376,15295
15474,15695
15866,15439
15575,15656
15364,15669
15628,15640
15292,15421
15697,15250
15514,15232
15574,15261
15322,15309
15087,15245
15321,15368
15219,15081
15170,15604
15416,15342
15494,15451
15700,15752
15898,15733
15428,15995
15525,15874
15548,15890
15812,15858
15784,16010
15884,16036
15925,15869
16153,15975
16024,15928
15993,16121
16187,16034
16274,16213
16246,15992
16180,16145
16116,15862
16103,16062
15948,16157
16258,16113
16292,15925
16218,16219
16217,16365
16413,16126
16153,16368
16238,16311
16400,16355
16278,16479
16612,16553
16457,16341
16633,16261
16400,16486
16536,16428
16849,16688
16839,16586
16854,16552
16800,16628
16462,16838
16686,16631
16751,16613
16614,17004
16396,16426
16764,16942
16756,16856
16797,16762
16853,16746
16785,16800
17146,16747
17059,16778
16710,16774
17059,17013
17319,16964
17220,16955
16915,16954
16904,17295
17318,17156
17047,17245
16857,17231
17076,17322
17236,17147
17073,17250
17174,17251
17106,17244
17296,17293
17366,17100
17434,17189
17516,17202
17528,17313
17628,17222
17458,17396
17602,17642
17323,17711
17492,17385
17589,17613
17553,17740
