5060,1,3557,0.153066652
4825,2,3632,0.123351478
4868,3,3378,0.158690924
4921,4,3332,0.169348372
4845,5,3402,0.153559472
5070,6,3381,0.175962789
4881,7,3555,0.137669203
4919,8,3402,0.160142513
4859,9,3551,0.136196227
4955,10,3507,0.150107893
5076,11,3385,0.17596294
4894,12,3437,0.153484433
4903,13,3446,0.15314662
5010,14,3656,0.136831539
4977,15,3372,0.169080075
5052,16,3478,0.162133764
4941,17,3439,0.157382678
5076,18,3422,0.171241608
5193,19,3517,0.169245954
4892,20,3471,0.149031835
5056,21,3437,0.167627533
5109,22,3496,0.164764479
5108,23,3398,0.177027514
4902,24,3443,0.153436284
4993,25,3386,0.168674612
4993,26,3529,0.150709908
4946,27,3510,0.148946996
5123,28,3460,0.170448257
5009,29,3569,0.147204484
4884,30,3417,0.155130676
5111,31,3513,0.162827731
5086,32,3453,0.168179777
5051,33,3412,0.170368346
5073,34,3484,0.163186716
5159,35,3447,0.175124244
5144,36,3426,0.176513601
5122,37,3534,0.161173029
5262,38,3569,0.168604296
5233,39,3538,0.169992906
5290,40,3605,0.166550403
5165,41,3509,0.167886958
5109,42,3534,0.160069358
5130,43,3477,0.168912674
5141,44,3519,0.164628337
5212,45,3528,0.169475831
5215,46,3709,0.147997479
5161,47,3537,0.164098799
4919,48,3567,0.139573713
5109,49,3487,0.165883955
5194,50,3524,0.168466046
5316,51,3680,0.159737154
5074,52,3572,0.152439013
5151,53,3593,0.156434333
5262,54,3673,0.156129915
5270,55,3557,0.17072675
5384,56,3463,0.19165256
5321,57,3569,0.173446711
5145,58,3704,0.142714401
5381,59,3491,0.187913143
5226,60,3550,0.167941052
5141,61,3625,0.151739593
5241,62,3566,0.167232821
5478,63,3572,0.185710578
5142,64,3703,0.14257836
5193,65,3620,0.156709752
5137,66,3608,0.153443037
5293,67,3571,0.170912044
5287,68,3444,0.186146168
5180,69,3541,0.165203833
5281,70,3591,0.167500762
5178,71,3584,0.159794045
5171,72,3572,0.160663088
5356,73,3615,0.170732267
5354,74,3648,0.166623537
5463,75,3696,0.169699238
5248,76,3616,0.161765405
5455,77,3672,0.171892082
5274,78,3696,0.154408163
5382,79,3694,0.163446802
5348,80,3765,0.152426418
5457,81,3771,0.160497421
5567,82,3735,0.173330615
5371,83,3696,0.16232319
5629,84,3749,0.176515808
5502,85,3664,0.176565121
