KAM-Spec 2017
Date:,11/09/2017
Time:,06:11:47
 
 
 
 
Absorbance
 ,Exposure Time:,20 ms
 ,Wavelength:,400 nm
 
9531,9725,9369
9575,9720,9191
9572,9446,9445
9608,9708,9237
9705,9569,9170
9648,9454,9032
9522,9427,9127
9578,9575,9356
9482,9682,9229
9669,9763,9384
9692,9626,9266
9616,9779,9421
9523,9626,9369
9724,9796,9520
9677,9683,9435
9803,9511,9378
9645,9660,9493
9786,9734,9398
9650,9893,9378
10010,9656,9561
9892,9804,9344
9908,9800,9363
10090,9973,9602
9861,10124,9379
9618,9815,9601
10029,9945,9600
9864,9677,9682
9841,9920,9461
9957,9992,9722
10068,9990,9719
10089,9922,9830
10006,9637,9629
9804,10020,9683
9910,10006,9892
9981,9871,9614
9800,9894,9550
10104,10103,9781
9984,9993,9770
10053,9886,9675
9996,9869,9509
10045,10108,9833
10173,10154,9636
10129,10087,9811
10117,10097,9762
10243,9969,9842
10314,10292,9825
10294,10392,9863
10164,10254,10006
10055,10406,9981
10278,10445,9837
10388,10207,10013
10278,10284,9892
10483,10521,10086
10482,10404,9884
10292,10336,9807
10155,10175,9962
10350,10121,9988
10443,10506,10044
10294,10608,9949
10484,10411,10086
10436,10327,10134
10285,10352,10072
10286,10644,10361
10453,10264,10230
10587,10251,10129
10501,10436,10001
10471,10583,10082
10289,10496,9816
10442,10212,9980
10326,10477,10055
10506,10563,10059
10562,10426,9997
10602,10460,10201
10260,10561,10250
10570,10338,10017
10570,10561,10219
10570,10549,10234
10740,10417,10381
10329,10716,10264
10630,10694,10239
10780,10573,10246
10696,10650,10305
10727,10646,10246
10977,11046,10529
10678,10781,10325
10680,10788,10254
10554,10781,10432
10888,10763,10509
10740,10790,10454
10731,10926,10466
10850,10761,10536
10882,10768,10352
10942,10714,10480
10726,10745,10434
10534,10836,10255
10595,10765,10488
10442,10531,10311
10460,10372,10128
10422,10544,10162
10522,10583,10373
10675,10730,10312
10833,10775,10433
10892,10765,10742
11285,11002,10637
10988,11179,10683
11254,11012,10659
11236,11196,10701
11162,11209,10930
10930,11089,10806
10989,11263,10638
11238,11213,10612
11161,11039,10959
11106,11136,10765
11204,11405,10975
11179,11131,10900
11127,11274,11035
11007,11174,10856
11247,11184,10882
11239,11264,11010
11208,11290,10952
11301,11263,10958
11293,11359,10990
11462,11176,11012
11362,11384,11030
11373,11356,10909
11122,11419,10636
11290,11507,11029
11522,11421,10956
11408,11468,10946
11396,11388,11036
11648,11527,10964
11426,11532,11067
11349,11558,11198
11367,11676,11042
11324,11511,11373
11399,11673,11217
11426,11676,11353
11676,11369,11222
11562,11524,11125
11529,11555,11260
11579,11645,11433
11564,11651,11474
11538,11747,11284
11864,11682,11204
11703,11454,11225
11766,11694,11460
11863,11870,11313
11946,11941,11215
11743,11884,11600
11530,11782,11319
11657,11887,11493
11774,11825,11442
11813,11904,11540
11733,11819,11437
12102,11690,11588
11631,11841,11576
11915,12072,11542
11981,11950,11561
11840,11981,11596
12045,11963,11578
12062,11899,11589
11904,12021,11717
12162,11838,11936
12017,12158,11581
12214,12024,11743
12119,12000,11496
12163,12062,11651
12103,12165,11619
12101,12246,11716
12249,12250,11861
12268,12039,11813
11998,12260,11658
12137,12010,11937
12266,12206,11827
12336,12129,12087
12312,11862,11753
12293,12323,11961
12174,12377,11800
12244,12259,11992
12214,12358,11732
12315,12237,11926
12385,12078,11858
12297,12349,12164
12206,12402,12149
12475,12676,11830
12535,12371,12241
12484,12501,11750
12462,12374,12026
12589,12591,11960
12584,12438,12173
12578,12673,12341
12494,12344,12178
12766,12559,12357
12377,12603,11950
12644,12709,11955
12585,12698,12246
12706,12638,12185
12552,12649,12240
12501,12624,12520
12618,12588,12312
12678,12425,12267
12610,12456,12238
12858,12775,12410
12834,12523,12474
12753,12718,12576
12937,12841,12441
12796,12688,12548
12843,12708,12416
12578,12818,12628
12534,12795,12549
12833,12786,12336
13000,12869,12518
12868,12712,12794
12912,12856,12769
12965,12840,12461
13009,13021,12698
12825,13120,12494
12965,12856,12693
13051,12942,12740
12918,12888,12797
12845,13086,12852
12967,13142,12556
13492,12982,12496
12960,13108,12676
12993,12957,12666
13075,13226,12616
13020,13088,12805
13142,13022,12773
13247,13181,12996
13273,13164,12921
13196,13303,12886
13282,13215,12672
13579,13242,12934
13318,13334,13062
13321,13352,12847
13260,13304,12854
13300,13454,13206
13197,13481,13049
13392,13418,13161
13483,13514,12904
13545,13456,13178
13256,13625,13105
13386,13598,13188
13560,13245,13108
13684,13362,13244
13441,13572,13172
13797,13653,13421
13736,13509,13279
13685,13697,13354
13526,13833,13225
13917,13692,13344
13726,13734,13356
13757,13803,13321
13721,13489,13226
13700,13549,13498
13540,13680,13334
13496,13866,13476
13639,13850,13535
13678,13860,13380
13677,13643,13322
13760,13617,13167
13964,13608,13455
13941,14084,13463
14126,13975,13586
14089,13819,13271
13851,13877,13708
14160,14100,13677
13986,14026,13627
13912,13866,13901
14000,14190,13842
14001,14081,13767
13933,13848,13723
14200,14184,13746
13997,14180,13830
14242,14058,13779
14217,14145,13753
14010,14333,13512
14094,14146,13865
14112,14190,13689
14354,14141,14116
14334,14401,13995
14297,14344,14131
14340,13968,13995
14182,14363,13950
14040,14285,13960
14083,13977,14046
14164,13866,13696
14156,14189,13677
13958,14162,13663
14013,13987,13440
13789,14084,13610
14157,14285,13524
14147,14243,13817
14086,14523,13870
14284,14593,13803
14204,14396,14220
14457,14559,14159
14712,14363,14300
14842,14809,14201
14747,14944,14364
14624,14828,14212
14902,14742,14497
14680,14797,14592
14749,14618,14516
14699,14705,14605
14577,14678,14536
14781,14934,14452
14805,14669,14401
14612,14912,14432
14810,14759,14488
14596,15115,14465
14808,14938,14330
14821,14820,14377
14886,14993,14562
14854,14997,14676
15007,14900,14644
15107,15063,14522
14998,15149,14650
15062,14977,14720
15180,15032,14959
15119,15062,14628
15197,14871,14842
15107,14968,14681
15190,15333,14809
15240,15309,14852
14838,14919,14748
15285,15208,14775
15270,15210,14820
15048,14992,14916
15204,15154,14688
15148,15093,14857
15176,15200,14826
15181,15010,14866
15354,15389,14829
15360,15297,14948
15244,15194,15210
15456,15407,15180
15343,15616,14998
15290,15475,15069
15654,15479,15073
15525,15290,15252
15332,15688,15225
15599,15340,15172
15608,15604,14964
15481,15372,15095
15262,15516,15156
15389,15350,14980
15168,15470,15003
15388,15483,15102
14933,15165,15001
15215,15128,14954
15305,15357,14746
15416,15350,15083
15234,15556,15234
15481,15273,15359
15671,15533,15400
15792,15799,15332
15976,15689,15644
15768,16001,15441
15970,15708,15691
15918,15872,15671
15894,16000,15413
15984,15904,15625
16020,15837,15616
16027,15964,15764
15750,15967,15883
16136,15969,15642
15752,16099,15531
16136,15957,15740
16213,16139,15649
16102,16244,15440
16218,16068,15714
16202,16173,15924
16301,16028,16213
16331,16356,15893
16116,16277,16081
16225,16195,15690
16249,16488,15876
16310,16276,15883
16456,16410,16039
16461,16124,15964
16378,16573,16164
16370,16512,16168
16520,16480,15946
16534,16436,16239
16480,16522,16167
16253,16492,16368
16569,16432,16421
16219,16746,16337
16728,16674,16241
16660,16640,16494
16573,16804,16268
16590,16549,16466
16664,16693,16314
16826,16923,16304
16694,16672,16556
