,1,1.5,2,2.5,3,3.5,4,4.5,5
13.2,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
13.4,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
13.6,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
13.8,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
14,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
14.2,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
14.4,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
14.6,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
14.8,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
15,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
15.2,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
15.4,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
15.6,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
15.8,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
16,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
16.2,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
16.4,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
16.6,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
16.8,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
17,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
17.2,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
17.4,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
17.6,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
17.8,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
18,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
18.2,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
18.4,10.1539,6.68753,4.92719,3.8468,3.10306,2.54696,2.10061,1.74891,1.32238
