KAM-Spec 2017
Date:,10/08/2017
Time:,01:36:40
 
 
 
 
Absorbance
 ,Exposure Time:,2 ms
 ,Wavelength:,400 nm
 
Absorbance
 ,Exposure Time:,5 ms
 ,Wavelength:,400 nm
 
 ,10
A,3014
B,2773
 
 
 ,10
A,2087
B,1947
 
 
