KAM-Spec 2017
Date:,11/10/2017
Time:,02:38:35
 
 
 
 
Absorbance
 ,Exposure Time:,15 ms
 ,Wavelength:,400 nm
 
8247,8310,8044
8440,8100,8098
8256,8432,8053
8386,8327,7956
8395,8416,8080
8440,8487,7863
8341,8396,8015
8480,8347,7970
8559,8444,8197
8434,8372,8249
8536,8428,8127
8267,8434,8211
8307,8571,8185
8342,8416,8125
8430,8596,8196
8476,8471,8189
8617,8458,8162
8406,8424,8072
8173,8579,8186
8396,8446,7981
8416,8595,8168
8350,8724,8174
8612,8689,8326
8663,8453,8201
8448,8468,8356
8640,8704,8544
8682,8758,8143
8594,8477,8173
8590,8756,8294
8658,8765,8256
8506,8674,8318
8539,8667,8396
8517,8677,8374
8740,8934,8345
8721,8639,8190
8730,8516,8381
8707,8886,8316
8544,8754,8448
8659,8824,8283
8817,8697,8496
8905,8787,8515
8763,8623,8402
8842,8761,8332
8849,8953,8396
8971,8891,8466
8799,8816,8420
8584,8962,8549
8942,8832,8465
8870,8894,8571
8916,8910,8505
8857,9009,8605
8830,9125,8659
9053,8885,8568
8762,9043,8495
8948,8996,8730
8882,8961,8648
8954,9289,8829
9091,9061,8617
9152,8945,8663
9049,8957,8805
8957,9077,8687
9020,8988,8813
9276,8918,8697
9197,8985,8801
9251,9169,8636
9205,9257,8704
8790,9051,8713
9064,9123,8711
9167,9099,8819
9267,9115,8685
9100,9028,8768
9064,8940,8622
9128,9142,8848
9216,9089,8754
9012,9230,8856
9162,9113,8930
9100,9023,8922
9122,9292,8822
9197,9274,8906
9233,9221,8972
9437,9417,8878
9243,9171,8826
9064,9401,9066
9422,9185,9158
9324,9348,9001
9325,9285,8942
9368,9293,9147
9408,9370,9186
9466,9493,9082
9512,9402,9186
9340,9624,9237
9486,9789,9010
9477,9358,8922
9280,9581,8902
9408,9267,8996
9262,9336,8988
9281,9206,8744
9108,9210,8817
9233,9080,8650
9171,9149,8879
9145,9266,8851
9321,9363,8986
9396,9344,9216
9622,9688,9264
9543,9508,9251
9848,9779,9428
9736,9851,9297
9610,9618,9489
9784,9793,9512
9641,9675,9339
9594,9848,9334
9852,9586,9389
9639,9738,9435
9912,9594,9540
9633,9829,9389
9892,9731,9477
9756,9750,9408
9900,9669,9631
9798,9729,9472
9860,9822,9360
9924,9982,9565
9786,9871,9696
10085,9845,9400
9701,9936,9646
10064,10037,9451
9964,9866,9611
9973,9982,9813
10070,10085,9657
9996,9933,9693
10036,9993,9587
9883,10028,9516
10157,10107,9744
10056,10004,9700
10052,10185,9950
9932,10120,9869
10075,9858,9746
10095,9972,9782
10043,9905,9823
10121,10234,9912
10219,10012,9869
10081,10031,9779
10117,10304,10017
10165,10388,9777
10283,10122,9846
10315,10107,9845
10221,10256,9924
10077,10434,10159
10192,10163,9986
10261,10497,9908
10478,10379,9817
10237,10344,9924
10545,10173,9988
10350,10611,10234
10325,10360,10107
10248,10473,10016
10204,10412,10078
10509,10413,9872
10373,10514,10054
10369,10504,9997
10441,10606,9895
10687,10473,10202
10255,10368,10276
10606,10522,10002
10468,10272,10269
10589,10410,9970
10574,10567,10412
10481,10720,10156
10483,10313,10359
10758,10828,10398
10428,10606,10157
10500,10386,10158
10620,10702,10406
10421,11003,10112
10620,10584,10181
10626,10586,10291
10972,10741,10304
10828,10747,10261
10556,10731,10340
10709,10689,10470
10590,10946,10339
10702,10828,10452
10631,10671,10625
10869,10880,10647
10766,10665,10514
10878,10804,10503
10893,10852,10331
10735,10888,10566
10764,10776,10450
10857,10853,10415
11036,10804,10792
10843,10615,10618
11021,11095,10435
10867,11186,10554
10894,11042,10489
10880,11050,10436
10924,10794,10631
11002,11059,10671
10917,11072,10379
11064,11060,10917
10963,11022,10607
10875,11119,10698
11100,11101,10822
10944,11128,10753
11037,11250,10740
11344,11290,10770
10863,11069,10694
11230,11059,10699
11149,11190,10833
11030,11309,10745
11090,11211,10773
11139,11037,10907
11267,11301,10885
11132,11199,10895
11297,11262,11046
11269,11254,10882
11538,11043,11173
11253,11144,10838
11215,11018,11026
11139,11387,11033
11040,11475,10915
11641,11304,11181
11485,11298,11173
11469,11421,11099
11282,11346,10978
11486,11520,11195
11254,11218,11004
11588,11398,11114
11317,11440,11319
11543,11492,11081
11482,11373,11044
11764,11467,11193
11672,11611,11256
11696,11491,11392
11615,11638,11416
11520,11735,11348
11501,11510,11298
11656,11658,11501
11639,11586,11278
11574,11829,11491
11767,11728,11683
12113,11833,11556
11478,11844,11540
11933,11694,11567
11783,11928,11447
11846,11854,11332
11742,11832,11521
11711,11784,11386
11698,12031,11565
11641,11743,11474
12024,11977,11498
11936,12086,11812
11950,12124,11606
12031,11950,11622
12199,12135,11659
12200,11955,11669
12079,12148,11548
12292,11945,11654
12142,12028,11741
11915,12195,11645
12017,12206,11653
12111,12114,11588
12141,12151,11954
12029,12183,11703
12070,12073,11834
12227,12304,11693
12332,12331,11803
12255,12022,11759
12405,12255,11866
12004,12559,11890
12332,12181,11888
12298,12205,11917
12480,12167,11988
12310,12271,12095
12216,12244,12052
12250,12430,12128
12369,12309,12020
12296,12354,12127
12283,12268,12074
12472,12372,12080
12548,12509,12109
12485,12604,12262
12532,12696,12283
12488,12560,12146
12552,12459,12184
12587,12379,12250
12404,12472,12077
12356,12393,12045
12356,12358,12202
12210,12187,12140
12460,12314,11997
12069,12309,12042
12304,12408,11908
12387,12363,12129
12231,12580,12235
12613,12494,12143
12448,12548,12258
12683,12858,12342
12701,12709,12263
12750,13108,12468
12813,12724,12763
12925,12679,12630
12911,12724,12337
12756,12676,12402
12922,12803,12604
12941,12819,12474
13157,12871,12644
13090,12781,12349
12991,12818,12438
13008,13174,12554
12991,12883,12662
13069,12824,12672
12835,13300,12861
13013,13144,12912
12872,12815,12787
12937,13281,13076
13010,12976,13092
13352,13068,12729
13490,13169,12928
13062,12954,12728
13234,13066,12753
13075,13226,12907
13150,13386,12956
13402,13390,12679
13380,12989,12728
13104,13303,12976
13348,13335,12955
13142,13205,12788
13369,13399,12950
13409,13355,12889
13398,13386,12735
13238,13152,12936
13314,13382,13126
13307,13386,12800
13449,13340,13129
13408,13364,12770
13616,13177,13077
13599,13334,13096
13663,13444,13020
13554,13207,13242
13729,13434,13199
13404,13576,13086
13512,13354,13068
13787,13741,13397
13486,13633,13504
13602,13564,13353
13470,13506,13102
13421,13631,13328
13549,13661,13188
13419,13367,13020
13606,13604,13124
13293,13326,13094
13400,13453,13089
13520,13557,12937
13523,13431,13189
13630,13577,13283
13573,13516,13368
13582,13799,13795
13849,13850,13382
13914,13930,13471
14027,13916,13393
14181,13863,13640
13782,14098,13585
14022,13984,13651
13990,13912,13607
14106,13879,13537
13912,13882,13633
13964,13924,13703
13952,14076,13602
14084,14221,13724
13995,13951,13730
14314,14171,13787
14156,13961,13805
14290,14086,13983
14471,13965,13825
14290,14316,13622
14318,14226,13798
14235,14093,13816
14292,14086,13849
14269,14053,14117
14466,14490,13981
14258,14303,13817
14233,14321,13953
14631,14149,13924
14356,14429,14268
14296,14438,14114
14534,14358,14128
14761,14464,14189
14512,14554,14157
14615,14340,14012
14358,14558,13852
14592,14677,14052
14406,14694,14120
14524,14481,14128
15060,14641,13981
14818,14369,14072
14366,14906,14350
